customer_id,recency,frequency,monetary
C0325,135,1,174.62
C0326,51,3,783.77
C0327,117,1,259.39
C0328,34,3,608.54
C0329,90,1,3.39
C0330,81,1,178.67
C0331,151,1,190.69
C0332,20,7,4435.98
C0333,21,7,6802.34
C0334,11,10,5649.6
C0335,9,3,839.77
C0336,17,7,4576.57
C0337,100,1,106.96
C0338,13,5,3332.6800000000003
C0339,39,2,142.74
C0340,83,5,3071.94
C0341,5,1,317.54
C0342,3,8,4056.23
C0343,9,3,527.78
C0344,5,11,12776.099999999999
C0345,6,5,3077.12
C0346,75,1,72.9
C0347,4,19,34482.44
C0348,29,10,5577.8
C0349,34,15,31217.39
C0350,78,1,109.31
C0351,43,6,3464.38
C0352,50,3,722.4300000000001
C0353,8,15,23314.54
C0354,11,10,4411.0
C0355,52,1,99.65
C0356,16,14,32825.05
C0357,110,1,391.27
C0358,7,7,5091.86
C0359,9,6,2963.5
C0360,71,3,753.21
C0361,23,2,378.69000000000005
C0362,29,2,1458.6999999999998
C0363,28,2,602.46
C0364,15,11,6023.84
C0365,25,6,3217.55
C0366,12,9,16651.11
C0367,3,2,211.43
C0368,85,1,61.08
C0369,37,12,23208.81
C0370,20,7,5474.5
C0371,3,13,20225.66
C0372,26,1,27.41
C0373,77,2,324.51
C0374,34,10,4350.39
C0375,24,5,3182.4
C0376,27,7,3445.2799999999997
C0377,26,3,666.9
C0378,62,2,267.81
C0379,23,10,5578.42
C0380,71,2,183.35
C0381,84,2,517.4300000000001
C0382,37,12,16933.6
C0383,10,1,375.9
C0384,27,6,4157.49
C0385,33,1,11.15
C0386,32,10,5624.51
C0387,42,10,6727.03
C0388,13,3,893.75
C0389,26,2,444.52
C0390,25,11,5415.37
C0391,29,2,36.92
C0392,10,10,5766.09
C0393,13,11,10290.49
C0394,119,2,254.45999999999998
C0395,20,8,50766.25
C0396,9,5,10794.76
C0397,57,2,364.9
C0398,27,10,17103.02
C0399,93,1,12.42
C0400,21,6,11685.95
C0401,30,2,643.83
C0402,6,16,26065.68
C0403,7,11,6677.969999999999
C0404,75,3,1846.47
C0405,153,1,193.21
C0406,120,1,153.76
C0407,19,10,4757.0199999999995
C0408,43,1,351.65
C0409,61,5,2813.27
C0410,13,3,484.61
C0411,8,3,613.2
C0412,8,13,22450.02
C0413,88,1,171.53
C0414,14,15,26676.55
C0415,17,2,555.5
C0416,76,1,217.63
C0417,24,14,19336.34
C0418,42,1,117.25
C0419,33,10,5126.35
C0420,21,2,259.88
C0421,3,17,31815.43
C0422,110,1,77.67
C0423,7,16,31015.9
C0424,6,7,4391.98
C0425,76,1,155.72
C0426,19,9,6541.52
C0427,14,13,22527.39
C0428,78,2,250.35000000000002
C0429,91,2,2960.94
C0430,130,1,150.27
C0431,15,18,30860.97
C0432,160,1,195.14
C0433,17,17,29000.1
C0434,182,1,77.81
C0435,36,2,607.01
C0436,127,1,274.72
C0437,21,7,4760.98
C0438,129,1,1175.7
C0439,5,1,338.02
C0440,50,2,171.48000000000002
C0441,71,5,3764.42
C0442,14,2,93.31
C0443,54,1,244.97
C0444,10,18,33635.62
C0445,13,6,3040.65
C0446,28,9,11323.68
C0447,13,10,5141.49
C0448,10,9,5491.27
C0449,42,9,3318.07
C0450,108,2,195.82999999999998
C0451,6,3,613.96
C0452,10,9,15571.72
C0453,7,2,910.32
C0454,33,1,129.16
C0455,31,9,4645.39
C0456,5,15,25018.89
C0457,26,1,143.19
C0458,66,2,479.09000000000003
C0459,96,3,749.8
C0460,38,2,291.23
C0461,30,8,14739.91
C0462,121,1,43.14
C0463,71,5,3607.52
C0464,27,7,5342.08
C0465,13,9,15760.01
C0466,6,8,4124.21
C0467,85,1,224.32
C0468,21,3,616.73
C0469,120,1,68.37
C0470,6,16,31738.93
C0471,23,2,282.39
C0472,158,1,141.47
C0473,30,9,5637.67
C0474,4,2,178.61
C0475,113,2,329.64
C0476,9,10,6274.49
C0477,162,1,115.17
C0478,11,1,167.86
C0479,144,1,320.04
C0480,151,1,104.06
C0481,16,7,6818.589999999999
C0482,105,2,327.05999999999995
C0483,102,2,2982.62
C0484,20,9,5590.01
C0485,44,11,41981.84
C0486,13,2,126.62
C0487,23,9,16124.720000000001
C0488,76,2,404.6
C0489,81,2,85.32
C0490,17,5,2643.31
C0491,14,8,12414.5
C0492,4,6,4148.52
C0493,22,3,1001.5
C0494,179,1,153.88
C0495,139,1,355.66
C0496,7,18,29453.6
C0497,158,2,376.79999999999995
C0498,43,1,351.3
C0499,7,10,7549.04
C0500,77,1,201.91
