transaction_id,customer_id,transaction_date,subtotal,promotion_id,final_amount,true_segment,used_promo
T000088,C0016,2024-01-21,722.67,NONE,722.67,Loyal,0
T000089,C0017,2024-01-06,312.75,NONE,312.75,New,0
T000090,C0018,2024-03-13,77.14,P_WELCOME,0.0,Loyal,1
T000091,C0019,2024-02-21,152.56,NONE,152.56,New,0
T000092,C0019,2024-02-16,175.0,P_WEEKEND,145.0,New,1
T000093,C0020,2024-05-11,2752.14,NONE,2752.14,At-Risk,0
T000094,C0020,2024-03-15,2079.34,NONE,2079.34,At-Risk,0
T000095,C0020,2024-05-14,1171.69,NONE,1171.69,At-Risk,0
T000096,C0020,2024-02-16,688.99,P_WEEKEND,658.99,At-Risk,1
T000097,C0020,2024-02-10,2919.39,NONE,2919.39,At-Risk,0
T000098,C0020,2024-04-05,774.7,NONE,774.7,At-Risk,0
T000099,C0020,2024-06-24,2291.66,NONE,2291.66,At-Risk,0
T000100,C0020,2024-04-29,1399.09,NONE,1399.09,At-Risk,0
T000101,C0020,2024-03-26,1356.31,P_CHAMPION,1085.05,At-Risk,1
T000102,C0020,2024-01-03,2556.56,P_WEEKEND,2526.56,At-Risk,1
T000103,C0020,2024-04-12,2566.62,P_CHAMPION,2053.3,At-Risk,1
T000104,C0020,2024-02-05,1630.79,NONE,1630.79,At-Risk,0
T000105,C0020,2024-01-15,650.05,NONE,650.05,At-Risk,0
T000106,C0020,2024-03-26,1600.55,NONE,1600.55,At-Risk,0
T000107,C0020,2024-02-14,614.8,NONE,614.8,At-Risk,0
T000108,C0020,2024-06-18,2331.16,NONE,2331.16,At-Risk,0
T000109,C0020,2024-05-14,2341.39,P_PAYDAY,2291.39,At-Risk,1
T000110,C0020,2024-01-23,2466.99,NONE,2466.99,At-Risk,0
T000111,C0021,2024-02-27,334.66,NONE,334.66,Champion,0
T000112,C0021,2024-04-13,362.75,P_PAYDAY,312.75,Champion,1
T000113,C0021,2024-01-13,181.49,P_WINBACK,136.12,Champion,1
T000114,C0022,2024-04-18,693.0,NONE,693.0,At-Risk,0
T000115,C0022,2024-03-09,669.11,NONE,669.11,At-Risk,0
T000116,C0022,2024-03-15,1655.79,P_WEEKEND,1625.79,At-Risk,1
T000117,C0022,2024-02-29,384.88,P_PAYDAY,334.88,At-Risk,1
T000118,C0022,2024-04-21,602.12,NONE,602.12,At-Risk,0
T000119,C0022,2024-04-23,3132.59,NONE,3132.59,At-Risk,0
T000120,C0022,2024-05-30,434.82,P_PAYDAY,384.82,At-Risk,1
T000121,C0023,2024-06-15,931.62,P_PAYDAY,881.62,New,1
T000122,C0023,2024-03-25,232.88,P_WEEKEND,202.88,New,1
T000123,C0023,2024-05-02,967.03,NONE,967.03,New,0
T000124,C0023,2024-01-23,826.98,NONE,826.98,New,0
T000125,C0023,2024-05-28,949.97,NONE,949.97,New,0
T000126,C0023,2024-05-08,940.94,NONE,940.94,New,0
T000127,C0023,2024-03-08,475.74,NONE,475.74,New,0
T000128,C0023,2024-03-05,696.91,P_WEEKEND,666.91,New,1
T000129,C0023,2024-03-11,4361.15,P_WEEKEND,4331.15,New,1
T000130,C0023,2024-01-22,605.28,NONE,605.28,New,0
T000131,C0023,2024-04-03,986.41,NONE,986.41,New,0
T000132,C0024,2024-04-11,488.98,NONE,488.98,At-Risk,0
T000133,C0024,2024-03-22,213.47,NONE,213.47,At-Risk,0
T000134,C0024,2024-03-20,545.59,NONE,545.59,At-Risk,0
T000135,C0024,2024-03-12,502.78,P_WEEKEND,472.78,At-Risk,1
T000136,C0024,2024-04-04,323.74,NONE,323.74,At-Risk,0
T000137,C0024,2024-05-20,543.2,NONE,543.2,At-Risk,0
T000138,C0025,2024-02-28,618.68,NONE,618.68,New,0
T000139,C0025,2024-03-08,483.04,NONE,483.04,New,0
T000140,C0025,2024-02-11,447.46,P_WEEKEND,417.46,New,1
T000141,C0025,2024-04-03,979.15,NONE,979.15,New,0
T000142,C0025,2024-03-26,5604.09,P_PAYDAY,5554.09,New,1
T000143,C0025,2024-03-17,359.39,NONE,359.39,New,0
T000144,C0025,2024-02-01,396.96,NONE,396.96,New,0
T000145,C0025,2024-01-13,651.14,NONE,651.14,New,0
T000146,C0025,2024-01-27,811.87,NONE,811.87,New,0
T000147,C0026,2024-01-06,249.81,P_WEEKEND,219.81,New,1
T000148,C0026,2024-04-06,279.62,NONE,279.62,New,0
T000149,C0026,2024-01-09,334.92,NONE,334.92,New,0
T000150,C0027,2024-06-18,2313.76,P_WEEKEND,2283.76,Loyal,1
T000151,C0027,2024-03-30,2231.44,NONE,2231.44,Loyal,0
T000152,C0027,2024-01-06,910.05,NONE,910.05,Loyal,0
T000153,C0027,2024-05-09,2024.68,NONE,2024.68,Loyal,0
T000154,C0027,2024-02-12,2971.31,NONE,2971.31,Loyal,0
T000155,C0027,2024-04-25,808.13,NONE,808.13,Loyal,0
T000156,C0027,2024-04-13,924.06,P_CHAMPION,739.25,Loyal,1
T000157,C0027,2024-04-10,1953.16,NONE,1953.16,Loyal,0
T000158,C0027,2024-02-15,1356.18,P_CHAMPION,1084.94,Loyal,1
T000159,C0027,2024-03-08,2608.26,NONE,2608.26,Loyal,0
T000160,C0027,2024-05-13,1431.06,P_WEEKEND,1401.06,Loyal,1
T000161,C0027,2024-01-10,1449.36,P_NEWYEAR,1304.42,Loyal,1
T000162,C0027,2024-04-25,1255.62,P_WEEKEND,1225.62,Loyal,1
T000163,C0027,2024-04-04,1951.61,NONE,1951.61,Loyal,0
T000164,C0027,2024-03-25,806.55,NONE,806.55,Loyal,0
T000165,C0028,2024-03-15,340.25,P_WINBACK,255.19,Loyal,1
T000166,C0028,2024-05-18,205.23,P_WEEKEND,175.23,Loyal,1
T000167,C0029,2024-01-18,576.82,NONE,576.82,At-Risk,0
T000168,C0029,2024-06-23,665.4,NONE,665.4,At-Risk,0
T000169,C0029,2024-01-13,342.16,NONE,342.16,At-Risk,0
T000170,C0029,2024-03-11,525.55,NONE,525.55,At-Risk,0
T000171,C0029,2024-01-16,744.16,NONE,744.16,At-Risk,0
T000172,C0029,2024-06-07,278.4,NONE,278.4,At-Risk,0
T000173,C0029,2024-01-10,527.47,NONE,527.47,At-Risk,0
T000174,C0029,2024-03-11,577.76,P_PAYDAY,527.76,At-Risk,1
T000175,C0030,2024-05-03,721.18,NONE,721.18,Loyal,0
T000176,C0030,2024-03-29,621.94,NONE,621.94,Loyal,0
T000177,C0030,2024-06-15,506.43,NONE,506.43,Loyal,0
T000178,C0030,2024-05-12,780.54,NONE,780.54,Loyal,0
T000179,C0030,2024-01-11,852.47,P_NEWYEAR,767.22,Loyal,1
T000180,C0030,2024-04-05,201.15,P_LOYAL,170.98,Loyal,1
T000181,C0031,2024-01-03,218.67,NONE,218.67,New,0
T000182,C0031,2024-02-15,149.22,P_WINBACK,111.92,New,1
T000183,C0032,2024-02-10,912.37,P_PAYDAY,862.37,New,1
T000184,C0032,2024-05-17,1057.79,P_CHAMPION,846.23,New,1
T000185,C0032,2024-01-27,1177.22,P_CHAMPION,941.78,New,1
T000186,C0032,2024-02-05,2132.83,NONE,2132.83,New,0
T000187,C0032,2024-06-12,1456.11,NONE,1456.11,New,0
T000188,C0032,2024-05-01,644.42,P_WEEKEND,614.42,New,1
T000189,C0032,2024-03-20,1037.12,P_CHAMPION,829.7,New,1
T000190,C0032,2024-06-15,2721.67,NONE,2721.67,New,0
T000191,C0032,2024-02-13,619.03,P_WEEKEND,589.03,New,1
T000192,C0032,2024-06-02,2184.25,NONE,2184.25,New,0
T000193,C0032,2024-04-24,875.78,NONE,875.78,New,0
T000194,C0032,2024-02-10,1729.48,NONE,1729.48,New,0
T000195,C0033,2024-06-20,316.43,NONE,316.43,Loyal,0
T000196,C0033,2024-03-01,516.49,NONE,516.49,Loyal,0
T000197,C0033,2024-01-04,478.8,NONE,478.8,Loyal,0
T000198,C0033,2024-04-28,333.76,NONE,333.76,Loyal,0
T000199,C0033,2024-02-28,981.27,P_PAYDAY,931.27,Loyal,1
T000200,C0033,2024-01-16,913.24,NONE,913.24,Loyal,0
T000201,C0033,2024-02-09,952.82,NONE,952.82,Loyal,0
T000202,C0034,2024-05-11,561.88,P_LOYAL,477.6,Loyal,1
T000203,C0034,2024-03-22,895.24,P_WEEKEND,865.24,Loyal,1
T000204,C0034,2024-05-09,920.67,P_PAYDAY,870.67,Loyal,1
T000205,C0034,2024-03-22,999.32,NONE,999.32,Loyal,0
T000206,C0034,2024-02-01,597.81,NONE,597.81,Loyal,0
T000207,C0034,2024-04-13,516.07,NONE,516.07,Loyal,0
T000208,C0035,2024-03-11,907.99,P_PAYDAY,857.99,New,1
T000209,C0035,2024-05-27,783.48,NONE,783.48,New,0
T000210,C0035,2024-04-15,387.89,P_WEEKEND,357.89,New,1
T000211,C0035,2024-05-31,585.24,P_WEEKEND,555.24,New,1
T000212,C0035,2024-04-09,318.99,NONE,318.99,New,0
T000213,C0035,2024-04-15,936.61,NONE,936.61,New,0
T000214,C0035,2024-04-13,356.44,NONE,356.44,New,0
T000215,C0035,2024-02-03,932.92,NONE,932.92,New,0
T000216,C0036,2024-03-10,222.47,NONE,222.47,Loyal,0
T000217,C0036,2024-02-05,212.26,NONE,212.26,Loyal,0
T000218,C0036,2024-04-02,344.33,P_DOUBLE_SALE,303.01,Loyal,1
T000219,C0037,2024-03-24,242.07,NONE,242.07,New,0
T000220,C0037,2024-02-24,383.52,NONE,383.52,New,0
T000221,C0037,2024-02-11,866.44,NONE,866.44,New,0
T000222,C0037,2024-04-16,357.87,P_PAYDAY,307.87,New,1
T000223,C0037,2024-06-26,873.98,NONE,873.98,New,0
T000224,C0037,2024-06-21,846.5,P_WEEKEND,816.5,New,1
T000225,C0037,2024-06-21,707.08,NONE,707.08,New,0
T000226,C0037,2024-04-18,780.86,NONE,780.86,New,0
T000227,C0038,2024-01-17,483.13,P_WEEKEND,453.13,Loyal,1
T000228,C0038,2024-06-26,743.87,P_LOYAL,632.29,Loyal,1
T000229,C0038,2024-06-17,780.31,P_MIDYEAR,580.31,Loyal,1
T000230,C0038,2024-06-28,970.95,P_WEEKEND,940.95,Loyal,1
T000231,C0038,2024-04-16,490.66,NONE,490.66,Loyal,0
T000232,C0038,2024-04-02,690.49,NONE,690.49,Loyal,0
T000233,C0038,2024-03-03,746.8,NONE,746.8,Loyal,0
T000234,C0038,2024-02-27,468.77,P_PAYDAY,418.77,Loyal,1
T000235,C0038,2024-01-28,448.19,NONE,448.19,Loyal,0
T000236,C0038,2024-03-05,862.49,NONE,862.49,Loyal,0
T000237,C0039,2024-06-04,101.33,NONE,101.33,At-Risk,0
T000238,C0040,2024-04-25,153.01,P_PAYDAY,103.01,Champion,1
T000239,C0040,2024-02-18,111.0,NONE,111.0,Champion,0
T000240,C0041,2024-02-18,1016.11,P_CHAMPION,812.89,At-Risk,1
T000241,C0041,2024-05-15,1571.79,P_CHAMPION,1257.43,At-Risk,1
T000242,C0041,2024-05-22,1874.99,P_WEEKEND,1844.99,At-Risk,1
T000243,C0041,2024-05-11,1035.1,P_CHAMPION,828.08,At-Risk,1
T000244,C0041,2024-05-16,2638.37,NONE,2638.37,At-Risk,0
T000245,C0041,2024-03-09,677.01,P_WEEKEND,647.01,At-Risk,1
T000246,C0041,2024-06-16,2711.89,NONE,2711.89,At-Risk,0
T000247,C0041,2024-02-27,2247.05,NONE,2247.05,At-Risk,0
T000248,C0041,2024-01-14,2731.08,NONE,2731.08,At-Risk,0
T000249,C0041,2024-06-07,1211.57,P_MIDYEAR,1011.57,At-Risk,1
T000250,C0042,2024-03-03,290.0,P_WINBACK,217.5,Loyal,1
T000251,C0042,2024-05-30,180.59,NONE,180.59,Loyal,0
T000252,C0043,2024-06-27,697.04,NONE,697.04,At-Risk,0
T000253,C0043,2024-05-23,734.79,NONE,734.79,At-Risk,0
T000254,C0043,2024-06-19,795.02,NONE,795.02,At-Risk,0
T000255,C0043,2024-02-29,978.17,P_WEEKEND,948.17,At-Risk,1
T000256,C0043,2024-02-16,6683.67,NONE,6683.67,At-Risk,0
T000257,C0043,2024-05-15,255.02,NONE,255.02,At-Risk,0
T000258,C0044,2024-03-17,428.43,NONE,428.43,Champion,0
T000259,C0044,2024-01-18,982.52,NONE,982.52,Champion,0
T000260,C0044,2024-05-06,264.05,NONE,264.05,Champion,0
T000261,C0044,2024-06-12,731.66,P_PAYDAY,681.66,Champion,1
T000262,C0044,2024-04-19,560.5,NONE,560.5,Champion,0
T000263,C0044,2024-02-04,729.27,NONE,729.27,Champion,0
T000264,C0044,2024-03-21,540.05,P_PAYDAY,490.05,Champion,1
T000265,C0044,2024-04-25,334.82,P_WEEKEND,304.82,Champion,1
T000266,C0045,2024-04-07,500.03,P_DOUBLE_SALE,440.03,At-Risk,1
T000267,C0045,2024-01-27,311.32,NONE,311.32,At-Risk,0
T000268,C0045,2024-01-23,583.34,P_LOYAL,495.84,At-Risk,1
T000269,C0045,2024-04-05,680.54,NONE,680.54,At-Risk,0
T000270,C0045,2024-03-11,902.07,NONE,902.07,At-Risk,0
T000271,C0045,2024-01-15,576.98,P_WEEKEND,546.98,At-Risk,1
T000272,C0045,2024-05-12,686.3,NONE,686.3,At-Risk,0
T000273,C0045,2024-03-14,861.82,NONE,861.82,At-Risk,0
T000274,C0045,2024-01-22,697.38,NONE,697.38,At-Risk,0
T000275,C0045,2024-01-03,841.56,NONE,841.56,At-Risk,0
T000276,C0046,2024-03-17,248.42,P_WINBACK,186.32,New,1
T000277,C0046,2024-03-20,148.13,NONE,148.13,New,0
T000278,C0046,2024-02-22,102.26,P_WEEKEND,72.26,New,1
T000279,C0047,2024-02-14,676.1,NONE,676.1,Loyal,0
T000280,C0047,2024-01-21,720.95,NONE,720.95,Loyal,0
T000281,C0047,2024-05-17,2152.98,P_PAYDAY,2102.98,Loyal,1
T000282,C0047,2024-02-19,1977.56,P_CHAMPION,1582.05,Loyal,1
T000283,C0047,2024-02-03,2832.03,NONE,2832.03,Loyal,0
T000284,C0047,2024-01-03,741.75,NONE,741.75,Loyal,0
T000285,C0047,2024-03-14,2176.99,NONE,2176.99,Loyal,0
T000286,C0047,2024-04-28,2335.01,P_CHAMPION,1868.01,Loyal,1
T000287,C0048,2024-03-10,168.4,NONE,168.4,Champion,0
T000288,C0048,2024-01-05,149.21,NONE,149.21,Champion,0
T000289,C0049,2024-04-03,471.11,NONE,471.11,Champion,0
T000290,C0049,2024-03-26,391.56,NONE,391.56,Champion,0
T000291,C0049,2024-05-01,712.83,P_PAYDAY,662.83,Champion,1
T000292,C0049,2024-02-01,658.66,NONE,658.66,Champion,0
T000293,C0049,2024-06-17,427.94,P_MIDYEAR,227.94,Champion,1
T000294,C0049,2024-04-14,592.75,NONE,592.75,Champion,0
T000295,C0049,2024-05-20,946.36,P_WEEKEND,916.36,Champion,1
T000296,C0049,2024-04-30,219.23,P_PAYDAY,169.23,Champion,1
T000297,C0050,2024-02-15,2204.03,P_WEEKEND,2174.03,At-Risk,1
T000298,C0050,2024-04-02,389.32,P_DOUBLE_SALE,342.6,At-Risk,1
T000299,C0050,2024-05-23,252.61,NONE,252.61,At-Risk,0
T000300,C0050,2024-02-17,654.88,NONE,654.88,At-Risk,0
T000301,C0050,2024-02-15,620.3,P_WEEKEND,590.3,At-Risk,1
T000302,C0050,2024-05-26,969.81,NONE,969.81,At-Risk,0
T000303,C0050,2024-03-27,579.8,NONE,579.8,At-Risk,0
T000304,C0050,2024-01-29,228.65,NONE,228.65,At-Risk,0
T000305,C0050,2024-06-07,428.67,NONE,428.67,At-Risk,0
T000306,C0051,2024-06-27,55.23,P_MIDYEAR,0.0,At-Risk,1
T000307,C0051,2024-04-16,104.1,NONE,104.1,At-Risk,0
T000308,C0052,2024-04-03,1226.76,P_PAYDAY,1176.76,At-Risk,1
T000309,C0052,2024-05-13,2985.75,NONE,2985.75,At-Risk,0
T000310,C0052,2024-04-24,868.46,NONE,868.46,At-Risk,0
T000311,C0052,2024-03-03,2630.94,P_WEEKEND,2600.94,At-Risk,1
T000312,C0052,2024-03-24,1908.16,NONE,1908.16,At-Risk,0
T000313,C0052,2024-02-06,2575.04,P_CHAMPION,2060.03,At-Risk,1
T000314,C0052,2024-03-20,863.03,P_WEEKEND,833.03,At-Risk,1
T000315,C0052,2024-04-11,2881.98,P_CHAMPION,2305.58,At-Risk,1
T000316,C0052,2024-02-09,2466.11,NONE,2466.11,At-Risk,0
T000317,C0052,2024-03-19,2322.33,P_WEEKEND,2292.33,At-Risk,1
T000318,C0052,2024-05-17,1972.74,NONE,1972.74,At-Risk,0
T000319,C0052,2024-03-14,931.14,P_PAYDAY,881.14,At-Risk,1
T000320,C0052,2024-03-11,1568.59,P_CHAMPION,1254.87,At-Risk,1
T000321,C0052,2024-03-17,2164.43,NONE,2164.43,At-Risk,0
T000322,C0052,2024-05-26,2404.3,NONE,2404.3,At-Risk,0
T000323,C0052,2024-06-02,2200.62,P_CHAMPION,1760.5,At-Risk,1
T000324,C0052,2024-05-15,991.58,P_PAYDAY,941.58,At-Risk,1
T000325,C0053,2024-02-05,565.81,NONE,565.81,Loyal,0
T000326,C0053,2024-05-13,427.22,NONE,427.22,Loyal,0
T000327,C0053,2024-04-23,653.28,NONE,653.28,Loyal,0
T000328,C0053,2024-06-11,966.03,NONE,966.03,Loyal,0
T000329,C0053,2024-01-01,792.41,NONE,792.41,Loyal,0
T000330,C0053,2024-06-23,3173.17,P_PAYDAY,3123.17,Loyal,1
T000331,C0053,2024-04-09,555.03,P_WEEKEND,525.03,Loyal,1
T000332,C0054,2024-01-30,677.1,P_LOYAL,575.54,Loyal,1
T000333,C0054,2024-03-15,682.65,P_PAYDAY,632.65,Loyal,1
T000334,C0054,2024-01-17,808.97,NONE,808.97,Loyal,0
T000335,C0054,2024-05-30,780.11,NONE,780.11,Loyal,0
T000336,C0054,2024-04-03,628.43,P_LOYAL,534.17,Loyal,1
T000337,C0054,2024-04-03,207.82,NONE,207.82,Loyal,0
T000338,C0054,2024-06-10,386.33,P_MIDYEAR,186.33,Loyal,1
T000339,C0054,2024-05-09,786.19,P_LOYAL,668.26,Loyal,1
T000340,C0054,2024-03-05,868.91,NONE,868.91,Loyal,0
T000341,C0054,2024-06-26,918.97,P_WEEKEND,888.97,Loyal,1
T000342,C0054,2024-03-31,539.39,NONE,539.39,Loyal,0
T000343,C0055,2024-06-09,489.97,NONE,489.97,At-Risk,0
T000344,C0055,2024-01-27,345.65,NONE,345.65,At-Risk,0
T000345,C0055,2024-01-09,503.72,P_NEWYEAR,453.35,At-Risk,1
T000346,C0055,2024-05-05,589.42,NONE,589.42,At-Risk,0
T000347,C0055,2024-01-07,774.96,NONE,774.96,At-Risk,0
T000348,C0055,2024-05-17,391.61,P_PAYDAY,341.61,At-Risk,1
T000349,C0055,2024-03-24,229.43,P_WEEKEND,199.43,At-Risk,1
T000350,C0055,2024-05-03,249.66,NONE,249.66,At-Risk,0
T000351,C0055,2024-04-03,241.36,P_DOUBLE_SALE,212.4,At-Risk,1
T000352,C0055,2024-04-10,676.36,NONE,676.36,At-Risk,0
T000353,C0055,2024-02-29,653.92,NONE,653.92,At-Risk,0
T000354,C0056,2024-04-24,758.81,P_PAYDAY,708.81,Loyal,1
T000355,C0056,2024-03-09,223.82,NONE,223.82,Loyal,0
T000356,C0056,2024-05-13,731.58,P_LOYAL,621.84,Loyal,1
T000357,C0056,2024-01-23,336.0,P_LOYAL,285.6,Loyal,1
T000358,C0056,2024-01-30,205.85,P_LOYAL,174.97,Loyal,1
T000359,C0056,2024-04-30,694.32,P_LOYAL,590.17,Loyal,1
T000360,C0056,2024-03-09,727.29,NONE,727.29,Loyal,0
T000361,C0056,2024-04-27,291.72,NONE,291.72,Loyal,0
T000362,C0056,2024-02-06,560.22,NONE,560.22,Loyal,0
T000363,C0056,2024-05-13,423.94,NONE,423.94,Loyal,0
T000364,C0056,2024-03-21,234.24,NONE,234.24,Loyal,0
T000365,C0057,2024-02-11,849.44,P_PAYDAY,799.44,New,1
T000366,C0057,2024-02-03,2331.61,P_CHAMPION,1865.29,New,1
T000367,C0057,2024-05-11,2204.25,NONE,2204.25,New,0
T000368,C0057,2024-02-22,794.52,P_CHAMPION,635.62,New,1
T000369,C0057,2024-02-11,863.19,P_WEEKEND,833.19,New,1
T000370,C0057,2024-06-25,1087.89,NONE,1087.89,New,0
T000371,C0057,2024-03-25,1738.11,NONE,1738.11,New,0
T000372,C0057,2024-06-25,1448.98,P_PAYDAY,1398.98,New,1
T000373,C0057,2024-04-07,2408.54,NONE,2408.54,New,0
T000374,C0057,2024-05-10,2707.64,NONE,2707.64,New,0
T000375,C0057,2024-01-08,1372.74,P_WEEKEND,1342.74,New,1
T000376,C0057,2024-05-26,1826.03,NONE,1826.03,New,0
T000377,C0058,2024-06-12,843.54,NONE,843.54,Champion,0
T000378,C0058,2024-03-12,8615.72,P_WEEKEND,8585.72,Champion,1
T000379,C0058,2024-01-19,2808.86,NONE,2808.86,Champion,0
T000380,C0058,2024-06-22,2965.18,NONE,2965.18,Champion,0
T000381,C0058,2024-04-05,2015.44,NONE,2015.44,Champion,0
T000382,C0058,2024-04-29,2741.21,P_CHAMPION,2192.97,Champion,1
T000383,C0058,2024-05-23,2215.49,NONE,2215.49,Champion,0
T000384,C0058,2024-01-24,2956.22,NONE,2956.22,Champion,0
